field,type,description
profile,string,The profile of this descriptor.
name,string,"An identifier string. Lower case characters with `.`, `_`, `-` and `/` are allowed."
path,string,"A reference to the data for this resource, as either a path as a string, or an array of paths as strings. of valid URIs."
data,string,Inline data for this resource.
schema,object,A schema for this resource.
title,string,A human-readable title.
description,string,A text description. Markdown is encouraged.
homepage,string,The home on the web that is related to this data package.
sources,array,The raw sources for this resource.
licenses,array,The license(s) under which the resource is published.
format,string,The file format of this resource.
mediatype,string,The media type of this resource. Can be any valid media type listed with [IANA](https://www.iana.org/assignments/media-types/media-types.xhtml).
encoding,string,The file encoding of this resource.
bytes,integer,The size of this resource in bytes.
hash,string,The MD5 hash of this resource. Indicate other hashing algorithms with the {algorithm}:{hash} format.
